id;name;subject;hire_date
1;Sleek bluetooth;Legacy yellow teal;2022-12-21
2;Soft Steel quantifying;Intelligent content TCP;2022-12-21
3;Quality;open-source;2022-12-21
4;Table back-end Bhutan;eco-centric bypass;2022-12-21
5;solutions;capacitor;2022-12-21
6;Multi-channelled;Connecticut;2022-12-21
7;mindshare one-to-one;Zloty withdrawal;2022-12-20
8;Kansas Sleek Run;AGP Tasty Berkshire;2022-12-20
9;Brazil Savings Investor;Automotive Analyst Digitized;2022-12-20
10;Fish;Group Nevada intelligence;2022-12-20
